    0.26576E-02    0.79165E+04
    0.27113E-02    0.80316E+04
    0.27660E-02    0.81477E+04
    0.28219E-02    0.82649E+04
    0.28789E-02    0.83832E+04
    0.29371E-02    0.85025E+04
    0.29964E-02    0.86230E+04
    0.30569E-02    0.87445E+04
    0.31187E-02    0.88670E+04
    0.31817E-02    0.89907E+04
    0.32460E-02    0.91153E+04
    0.33115E-02    0.92409E+04
    0.33784E-02    0.93675E+04
    0.34467E-02    0.94949E+04
    0.35163E-02    0.96232E+04
    0.35874E-02    0.97524E+04
    0.36598E-02    0.98824E+04
    0.37338E-02    0.10013E+05
    0.38092E-02    0.10145E+05
    0.38861E-02    0.10278E+05
    0.39646E-02    0.10411E+05
    0.40447E-02    0.10545E+05
    0.41264E-02    0.10679E+05
    0.42098E-02    0.10815E+05
    0.42948E-02    0.10950E+05
    0.43816E-02    0.11087E+05
    0.44701E-02    0.11224E+05
    0.45604E-02    0.11361E+05
    0.46525E-02    0.11499E+05
    0.47465E-02    0.11637E+05
    0.48424E-02    0.11775E+05
    0.49402E-02    0.11914E+05
    0.50400E-02    0.12053E+05
    0.51419E-02    0.12191E+05
    0.52457E-02    0.12331E+05
    0.53517E-02    0.12470E+05
    0.54598E-02    0.12609E+05
    0.55701E-02    0.12747E+05
    0.56826E-02    0.12886E+05
    0.57974E-02    0.13025E+05
    0.59145E-02    0.13163E+05
    0.60340E-02    0.13301E+05
    0.61559E-02    0.13438E+05
    0.62803E-02    0.13574E+05
    0.64072E-02    0.13711E+05
    0.65366E-02    0.13846E+05
    0.66686E-02    0.13980E+05
    0.68033E-02    0.14114E+05
    0.69408E-02    0.14247E+05
    0.70810E-02    0.14378E+05
    0.72240E-02    0.14509E+05
    0.73700E-02    0.14638E+05
    0.75189E-02    0.14766E+05
    0.76708E-02    0.14892E+05
    0.78257E-02    0.15016E+05
    0.79838E-02    0.15139E+05
    0.81451E-02    0.15261E+05
    0.83096E-02    0.15380E+05
    0.84775E-02    0.15497E+05
    0.86488E-02    0.15612E+05
    0.88235E-02    0.15725E+05
    0.90017E-02    0.15835E+05
    0.91836E-02    0.15943E+05
    0.93691E-02    0.16048E+05
    0.95583E-02    0.16150E+05
    0.97514E-02    0.16249E+05
    0.99484E-02    0.16345E+05
    0.10149E-01    0.16438E+05
