   102    0.31748E+04    0.58794E+00   -0.22777E+02
   103    0.31945E+04    0.59814E+00   -0.23278E+02
   104    0.32145E+04    0.60823E+00   -0.23777E+02
   105    0.32348E+04    0.61812E+00   -0.24273E+02
   106    0.32554E+04    0.62791E+00   -0.24768E+02
   107    0.32761E+04    0.63745E+00   -0.25260E+02
   108    0.32972E+04    0.64681E+00   -0.25749E+02
   109    0.33187E+04    0.65593E+00   -0.26235E+02
   110    0.33403E+04    0.66480E+00   -0.26715E+02
   111    0.33623E+04    0.67351E+00   -0.27191E+02
   112    0.33845E+04    0.68198E+00   -0.27664E+02
   113    0.34071E+04    0.69023E+00   -0.28131E+02
   114    0.34298E+04    0.69816E+00   -0.28591E+02
   115    0.34530E+04    0.70595E+00   -0.29045E+02
   116    0.34762E+04    0.71337E+00   -0.29492E+02
   117    0.34999E+04    0.72049E+00   -0.29931E+02
   118    0.35239E+04    0.72747E+00   -0.30364E+02
   119    0.35480E+04    0.73415E+00   -0.30787E+02
   120    0.35723E+04    0.74041E+00   -0.31202E+02
   121    0.35968E+04    0.74653E+00   -0.31607E+02
   122    0.36215E+04    0.75222E+00   -0.32003E+02
   123    0.36464E+04    0.75756E+00   -0.32389E+02
   124    0.36714E+04    0.76263E+00   -0.32763E+02
   125    0.36966E+04    0.76735E+00   -0.33126E+02
   126    0.37220E+04    0.77181E+00   -0.33478E+02
   127    0.37475E+04    0.77585E+00   -0.33819E+02
   128    0.37731E+04    0.77963E+00   -0.34148E+02
   129    0.37989E+04    0.78300E+00   -0.34463E+02
   130    0.38248E+04    0.78597E+00   -0.34765E+02
   131    0.38508E+04    0.78868E+00   -0.35055E+02
   132    0.38770E+04    0.79100E+00   -0.35329E+02
   133    0.39032E+04    0.79299E+00   -0.35591E+02
   134    0.39296E+04    0.79466E+00   -0.35836E+02
   135    0.39560E+04    0.79593E+00   -0.36067E+02
   136    0.39825E+04    0.79681E+00   -0.36280E+02
   137    0.40090E+04    0.79737E+00   -0.36478E+02
   138    0.40356E+04    0.79754E+00   -0.36659E+02
   139    0.40620E+04    0.79747E+00   -0.36823E+02
   140    0.40886E+04    0.79693E+00   -0.36970E+02
   141    0.41152E+04    0.79601E+00   -0.37099E+02
   142    0.41418E+04    0.79478E+00   -0.37210E+02
   143    0.41685E+04    0.79324E+00   -0.37303E+02
   144    0.41950E+04    0.79132E+00   -0.37378E+02
   145    0.42215E+04    0.78917E+00   -0.37434E+02
   146    0.42482E+04    0.78657E+00   -0.37471E+02
   147    0.42746E+04    0.78373E+00   -0.37488E+02
   148    0.43010E+04    0.78052E+00   -0.37486E+02
   149    0.43275E+04    0.77701E+00   -0.37464E+02
   150    0.43537E+04    0.77328E+00   -0.37419E+02
   151    0.43799E+04    0.76925E+00   -0.37356E+02
   152    0.44059E+04    0.76485E+00   -0.37272E+02
   153    0.44318E+04    0.76022E+00   -0.37165E+02
   154    0.44577E+04    0.75536E+00   -0.37038E+02
   155    0.44834E+04    0.75028E+00   -0.36889E+02
   156    0.45089E+04    0.74496E+00   -0.36719E+02
   157    0.45344E+04    0.73942E+00   -0.36526E+02
   158    0.45597E+04    0.73371E+00   -0.36311E+02
   159    0.45848E+04    0.72769E+00   -0.36074E+02
   160    0.46098E+04    0.72151E+00   -0.35813E+02
   161    0.46347E+04    0.71524E+00   -0.35531E+02
   162    0.46594E+04    0.70873E+00   -0.35227E+02
   163    0.46841E+04    0.70205E+00   -0.34899E+02
   164    0.47084E+04    0.69528E+00   -0.34549E+02
   165    0.47327E+04    0.68834E+00   -0.34175E+02
   166    0.47568E+04    0.68137E+00   -0.33779E+02
   167    0.47808E+04    0.67415E+00   -0.33360E+02
   168    0.48044E+04    0.66705E+00   -0.32917E+02
   169    0.48279E+04    0.65978E+00   -0.32451E+02
   170    0.48512E+04    0.65255E+00   -0.31961E+02
   171    0.48741E+04    0.64536E+00   -0.31447E+02
   172    0.48968E+04    0.63814E+00   -0.30910E+02
   173    0.49191E+04    0.63088E+00   -0.30349E+02
   174    0.49413E+04    0.62389E+00   -0.29765E+02
   175    0.49632E+04    0.61685E+00   -0.29157E+02
   176    0.49847E+04    0.61000E+00   -0.28525E+02
   177    0.50059E+04    0.60325E+00   -0.27870E+02
   178    0.50267E+04    0.59682E+00   -0.27192E+02
   179    0.50473E+04    0.59041E+00   -0.26489E+02
   180    0.50676E+04    0.58424E+00   -0.25764E+02
   181    0.50875E+04    0.57830E+00   -0.25016E+02
   182    0.51071E+04    0.57266E+00   -0.24244E+02
   183    0.51263E+04    0.56725E+00   -0.23449E+02
   184    0.51451E+04    0.56213E+00   -0.22631E+02
   185    0.51636E+04    0.55745E+00   -0.21791E+02
   186    0.51814E+04    0.55306E+00   -0.20928E+02
   187    0.51991E+04    0.54910E+00   -0.20041E+02
   188    0.52164E+04    0.54555E+00   -0.19133E+02
   189    0.52332E+04    0.54244E+00   -0.18203E+02
   190    0.52499E+04    0.53981E+00   -0.17252E+02
   191    0.52658E+04    0.53769E+00   -0.16277E+02
   192    0.52814E+04    0.53610E+00   -0.15280E+02
   193    0.52965E+04    0.53507E+00   -0.14264E+02
   194    0.53112E+04    0.53463E+00   -0.13226E+02
   195    0.53255E+04    0.53480E+00   -0.12167E+02
   196    0.53392E+04    0.53563E+00   -0.11088E+02
   197    0.53526E+04    0.53716E+00   -0.99899E+01
   198    0.53654E+04    0.53939E+00   -0.88714E+01
   199    0.53779E+04    0.54237E+00   -0.77336E+01
   200    0.53898E+04    0.54612E+00   -0.65772E+01
   201    0.54013E+04    0.55069E+00   -0.54013E+01
   202    0.54122E+04    0.55608E+00   -0.42075E+01
   203    0.54227E+04    0.56236E+00   -0.29949E+01
   204    0.54325E+04    0.56953E+00   -0.17663E+01
   205    0.54418E+04    0.57764E+00   -0.51960E+00
   206    0.54506E+04    0.58673E+00    0.74415E+00
   207    0.54588E+04    0.59680E+00    0.20246E+01
   208    0.54664E+04    0.60791E+00    0.33212E+01
   209    0.54734E+04    0.62007E+00    0.46337E+01
   210    0.54799E+04    0.63334E+00    0.59614E+01
   211    0.54859E+04    0.64773E+00    0.73041E+01
