  -1.08198E+01   1.29086E-07  -1.00000E+00   1.28784E+00   9.08364E-17   4.81120E-09   4.81120E-09
  -1.01266E+01   1.94226E-06  -9.99999E-01   1.28784E+00   5.51978E-15   1.92448E-08   1.92448E-08
  -9.72115E+00   9.27946E-06  -9.99997E-01   1.28784E+00   5.98547E-14   4.33007E-08   4.33007E-08
  -9.43346E+00   2.77651E-05  -9.99992E-01   1.28784E+00   3.20915E-13   7.69784E-08   7.69787E-08
  -9.21032E+00   6.43551E-05  -9.99981E-01   1.28783E+00   1.17069E-12   1.20277E-07   1.20278E-07
  -9.02800E+00   1.27014E-04  -9.99961E-01   1.28783E+00   3.34939E-12   1.73195E-07   1.73198E-07
  -8.87385E+00   2.24475E-04  -9.99931E-01   1.28781E+00   8.10680E-12   2.35728E-07   2.35736E-07
  -8.74032E+00   3.66066E-04  -9.99887E-01   1.28778E+00   1.73662E-11   3.07872E-07   3.07889E-07
  -8.62253E+00   5.61567E-04  -9.99826E-01   1.28775E+00   3.38972E-11   3.89619E-07   3.89653E-07
  -8.51717E+00   8.21102E-04  -9.99744E-01   1.28770E+00   6.14950E-11   4.80959E-07   4.81020E-07
  -8.42186E+00   1.15505E-03  -9.99639E-01   1.28763E+00   1.05164E-10   5.81879E-07   5.81984E-07
  -8.33485E+00   1.57396E-03  -9.99505E-01   1.28754E+00   1.71301E-10   6.92361E-07   6.92532E-07
  -8.25481E+00   2.08850E-03  -9.99341E-01   1.28742E+00   2.67888E-10   8.12384E-07   8.12652E-07
  -8.18070E+00   2.70938E-03  -9.99141E-01   1.28728E+00   4.04668E-10   9.41921E-07   9.42325E-07
  -8.11171E+00   3.44729E-03  -9.98903E-01   1.28711E+00   5.93337E-10   1.08094E-06   1.08153E-06
  -8.04717E+00   4.31286E-03  -9.98622E-01   1.28690E+00   8.47721E-10   1.22940E-06   1.23025E-06
  -7.98654E+00   5.31661E-03  -9.98295E-01   1.28666E+00   1.18395E-09   1.38727E-06   1.38845E-06
  -7.92939E+00   6.46887E-03  -9.97917E-01   1.28637E+00   1.62062E-09   1.55448E-06   1.55610E-06
  -7.87532E+00   7.77975E-03  -9.97486E-01   1.28604E+00   2.17897E-09   1.73098E-06   1.73316E-06
  -7.82403E+00   9.25907E-03  -9.96996E-01   1.28566E+00   2.88302E-09   1.91670E-06   1.91958E-06
  -7.60088E+00   1.95003E-02  -9.93552E-01   1.28293E+00   9.64085E-09   2.98065E-06   2.99029E-06
  -7.41856E+00   3.51746E-02  -9.88121E-01   1.27846E+00   2.54505E-08   4.25967E-06   4.28512E-06
  -7.26441E+00   5.68914E-02  -9.80312E-01   1.27187E+00   5.70064E-08   5.73393E-06   5.79094E-06
  -7.13088E+00   8.47509E-02  -9.69812E-01   1.26280E+00   1.13046E-07   7.37650E-06   7.48955E-06
  -7.01310E+00   1.18303E-01  -9.56413E-01   1.25100E+00   2.03934E-07   9.15353E-06   9.35746E-06
  -6.90774E+00   1.56602E-01  -9.40009E-01   1.23629E+00   3.40936E-07   1.10253E-05   1.13663E-05
  -6.81243E+00   1.98346E-01  -9.20598E-01   1.21861E+00   5.35306E-07   1.29481E-05   1.34834E-05
  -6.72541E+00   2.42070E-01  -8.98253E-01   1.19798E+00   7.97340E-07   1.48757E-05   1.56730E-05
  -6.64537E+00   2.86330E-01  -8.73104E-01   1.17449E+00   1.13557E-06   1.67621E-05   1.78977E-05
  -6.57126E+00   3.29853E-01  -8.45298E-01   1.14831E+00   1.55623E-06   1.85629E-05   2.01191E-05
  -6.50227E+00   3.71623E-01  -8.14981E-01   1.11965E+00   2.06294E-06   2.02368E-05   2.22998E-05
  -6.43773E+00   4.10905E-01  -7.82268E-01   1.08873E+00   2.65674E-06   2.17470E-05   2.44037E-05
  -6.37711E+00   4.47233E-01  -7.47233E-01   1.05577E+00   3.33619E-06   2.30612E-05   2.63974E-05
  -6.31995E+00   4.80360E-01  -7.09900E-01   1.02100E+00   4.09770E-06   2.41525E-05   2.82502E-05
  -6.26588E+00   5.10209E-01  -6.70233E-01   9.84631E-01   4.93577E-06   2.49992E-05   2.99349E-05
  -6.21459E+00   5.36821E-01  -6.28142E-01   9.46838E-01   5.84331E-06   2.55844E-05   3.14277E-05
  -6.16580E+00   5.60313E-01  -5.83480E-01   9.07791E-01   6.81185E-06   2.58965E-05   3.27084E-05
  -6.11928E+00   5.80843E-01  -5.36043E-01   8.67631E-01   7.83170E-06   2.59288E-05   3.37605E-05
  -6.07483E+00   5.98586E-01  -4.85577E-01   8.26479E-01   8.89208E-06   2.56790E-05   3.45711E-05
  -6.03227E+00   6.13715E-01  -4.31775E-01   7.84437E-01   9.98115E-06   2.51498E-05   3.51310E-05
  -5.99144E+00   6.26393E-01  -3.74282E-01   7.41588E-01   1.10860E-05   2.43484E-05   3.54344E-05
  -5.95222E+00   6.36760E-01  -3.12695E-01   6.98001E-01   1.21925E-05   2.32866E-05   3.54791E-05
  -5.91448E+00   6.44934E-01  -2.46574E-01   6.53733E-01   1.32853E-05   2.19811E-05   3.52664E-05
  -5.87812E+00   6.51006E-01  -1.75444E-01   6.08832E-01   1.43478E-05   2.04535E-05   3.48014E-05
  -5.84302E+00   6.55041E-01  -9.88167E-02   5.63338E-01   1.53618E-05   1.87307E-05   3.40925E-05
  -5.80912E+00   6.57075E-01  -1.62149E-02   5.17288E-01   1.63072E-05   1.68447E-05   3.31519E-05
  -5.77633E+00   6.57118E-01   7.27804E-02   4.70719E-01   1.71623E-05   1.48336E-05   3.19958E-05
